id	emotion
34170_0007_A_43	-0.08530716598033905,0.03591153025627136,-0.018203940242528915,0.04451826214790344,-0.06383749842643738,-0.04513082280755043
34170_0007_A_44	-0.2973778247833252,0.22577139735221863,0.01129348948597908,0.19956345856189728,0.3429398834705353,1.8837276697158813
34170_0007_A_45	-0.13344699144363403,0.12437037378549576,0.0870911031961441,0.07860836386680603,-0.08619417250156403,-0.01391404028981924
34170_0007_A_46	-0.011796105653047562,1.4293724298477173,0.07316923141479492,0.09103237092494965,-0.030819039791822433,-0.10325834155082703
34170_0007_A_47	-0.07806776463985443,0.016928918659687042,-0.009270738810300827,-0.03665008023381233,-0.018992505967617035,0.03652762249112129
34170_0008_A_49	-0.09846630692481995,-0.016613386571407318,0.039076048880815506,0.05447271838784218,0.023625314235687256,0.004450620152056217
34170_0008_A_50	-0.0834205150604248,0.004167609848082066,-0.02813778445124626,0.010225706733763218,0.0190843865275383,0.05610659345984459
34170_0008_A_51	-0.10253818333148956,0.293250173330307,-0.019667532294988632,0.06079379841685295,-0.08233695477247238,0.05102809518575668
34170_0009_A_54	0.019662726670503616,-0.012813112698495388,-0.06497181951999664,0.02930949255824089,0.08949953317642212,0.015490788035094738
34170_0009_A_56	-0.08771386742591858,0.06632164120674133,0.002363581210374832,0.0661359503865242,0.20037049055099487,0.01702990010380745
34170_0009_A_58	-0.032264914363622665,0.025754116475582123,-0.09588967263698578,-0.03412603214383125,0.0414963960647583,-0.041870761662721634
34170_0009_A_59	-0.05966479703783989,0.13303318619728088,0.040384937077760696,0.049027491360902786,-0.02347729355096817,0.003921582363545895
34170_0009_A_60	-0.10329769551753998,0.09487207233905792,-0.009717162698507309,0.07792843878269196,0.005265377461910248,0.07491597533226013
34170_0009_A_61	-0.07624873518943787,0.13696236908435822,0.06100049987435341,0.005464830435812473,0.10083822906017303,0.26577261090278625
34170_0009_A_62	-0.054832641035318375,0.05223563313484192,-0.022108357399702072,0.09145993739366531,0.02313420921564102,0.053273700177669525
34170_0009_A_63	-0.1196528822183609,0.049314409494400024,-0.006893184036016464,0.12084868550300598,-0.0022300034761428833,0.038583267480134964
34170_0009_A_64	-0.11735488474369049,0.04116521775722504,-0.06607389450073242,0.07130005210638046,0.08563196659088135,0.2668098509311676
34170_0010_A_66	-0.06031351909041405,0.0023018429055809975,-0.02306337282061577,0.07520215213298798,-0.049427635967731476,-0.025812391191720963
34170_0010_A_67	-0.21130837500095367,-0.05372297018766403,-0.018296856433153152,-0.14151978492736816,0.006030827760696411,-0.049053970724344254
34170_0011_A_71	0.0028904490172863007,-0.006356670521199703,-0.06755201518535614,0.05259628966450691,0.3304142951965332,-0.005358410067856312
34170_0011_A_74	-0.10961353778839111,0.027081847190856934,0.09488527476787567,-0.002119355835020542,0.14686009287834167,0.08189135789871216
34170_0011_A_76	-0.18065138161182404,0.1365966647863388,0.0028296150267124176,0.5574364066123962,0.2527894675731659,-0.007361476309597492
34170_0011_A_78	0.13522380590438843,0.05800948292016983,-0.09572765231132507,-0.06396321952342987,0.038018785417079926,0.1526276022195816
34170_0011_A_80	0.011003933846950531,0.10225105285644531,-0.06685072183609009,0.03621360659599304,0.020777270197868347,0.10503081232309341
34170_0011_A_81	-0.21575096249580383,0.1717662364244461,0.034579310566186905,0.05749597027897835,-0.017977237701416016,-0.011993094347417355
34170_0012_A_83	-0.11458875238895416,-0.02905769646167755,0.02038050815463066,0.07244160026311874,0.10517705976963043,-0.005977113731205463
34170_0012_A_84	-0.04791439697146416,0.05290336161851883,0.002293366938829422,-0.12070731818675995,-0.029718011617660522,-0.07504391670227051
34170_0012_A_85	-0.08813351392745972,0.09601400047540665,0.018455374985933304,-0.057771679013967514,0.017773456871509552,-0.0015732580795884132
34170_0012_A_86	-0.13007399439811707,0.027002103626728058,-0.02987733855843544,-0.013632324524223804,-0.012774467468261719,0.013383987359702587
34170_0012_A_87	-0.11442241072654724,0.08757535368204117,-0.00755537673830986,-0.023899663239717484,-0.023279644548892975,0.021449927240610123
34170_0012_A_88	-0.14353270828723907,0.027313202619552612,-0.015467401593923569,-0.10041449964046478,0.03993241488933563,-0.029161803424358368
34170_0012_A_89	-0.07378512620925903,0.04367763549089432,-0.02556297555565834,-0.05066274106502533,0.024034708738327026,0.025587935000658035
34170_0012_A_90	-0.213693767786026,0.049642086029052734,-0.009955223649740219,0.0813751220703125,-0.021868079900741577,-0.04527441784739494
34170_0012_A_92	-0.1845959722995758,-0.007602891884744167,0.0008695311844348907,0.011785070411860943,-0.019776657223701477,0.020403463393449783
34170_0012_A_94	-0.1762947142124176,0.06783309578895569,-0.03832913562655449,0.036888107657432556,-0.00958365947008133,0.019351135939359665
34170_0012_A_96	-0.23640871047973633,0.2109544426202774,0.02773541584610939,0.04504568502306938,-8.37370753288269e-05,-0.0019532451406121254
34170_0012_A_98	-0.04962341859936714,0.18138152360916138,-0.038538362830877304,0.07675021886825562,-0.05090950429439545,-0.056021399796009064
34170_0012_A_99	-0.20406180620193481,0.12152764946222305,-0.043242763727903366,0.05548867955803871,0.091929592192173,-0.022064346820116043
34170_0012_A_100	-0.09621451795101166,0.13069279491901398,0.12040697038173676,0.005795138888061047,0.25705721974372864,-0.006456864066421986
34170_0012_A_101	-0.0253596194088459,0.03682706505060196,0.0037665553390979767,-0.012944702990353107,0.2083331048488617,0.056352514773607254
34170_0013_A_103	-0.06495289504528046,0.004297585226595402,0.013793665915727615,-0.051849331706762314,0.07904719561338425,-0.08218982815742493
34170_0013_A_104	-0.07084661722183228,-0.001154921017587185,0.03583153709769249,-0.017879240214824677,0.1050136536359787,-0.01391440350562334
34170_0013_A_105	-0.06621281802654266,0.012158052064478397,0.049284134060144424,-0.014057968743145466,0.06039363890886307,-0.05415136367082596
34170_0013_A_106	-0.13203532993793488,0.026646636426448822,0.03731921687722206,0.07656881213188171,0.03511309623718262,0.04156365245580673
34170_0013_A_107	-0.2590526342391968,0.05404844880104065,0.027827072888612747,0.06386497616767883,0.008578650653362274,0.062213532626628876
34170_0013_A_108	-0.02639796957373619,0.11933926492929459,0.1348467916250229,0.05607372522354126,0.16275593638420105,0.12600478529930115
34170_0013_A_109	-0.16962558031082153,0.1276261955499649,0.07830661535263062,0.005172743462026119,0.049974650144577026,0.03860151395201683
34170_0013_A_110	-0.18184076249599457,0.0006970027461647987,0.05948522314429283,0.04179392382502556,0.06893390417098999,0.10525847971439362
34170_0014_A_112	0.04048210754990578,0.13789959251880646,0.059614311903715134,0.07712210714817047,0.715833306312561,0.02984386309981346
34170_0014_A_113	0.1769866645336151,0.5201913714408875,-0.2752326428890228,0.09334737062454224,0.5773289203643799,0.02298079803586006
34170_0015_A_115	0.07537037134170532,0.19672368466854095,0.07095447182655334,-0.0109794856980443,0.21630506217479706,0.060403529554605484
34170_0015_A_116	-0.045253936201334,0.11329493671655655,0.02366805449128151,-0.024019598960876465,0.0642775371670723,0.10717740654945374
34170_0015_A_117	-0.11922729015350342,1.6811811923980713,0.039439890533685684,-0.08579299598932266,0.0040182918310165405,0.12459088861942291
34170_0015_A_118	0.0636008083820343,0.19236190617084503,-0.038671258836984634,-0.015905436128377914,0.0038604214787483215,0.3673267960548401
34170_0015_A_119	-0.11382250487804413,0.4515626132488251,-0.031614046543836594,0.05267861485481262,0.08917690813541412,0.23051562905311584
34170_0015_A_120	-0.1520887315273285,0.05846448242664337,0.02124074473977089,0.027564868330955505,-0.02855250984430313,0.14095206558704376
34170_0015_A_121	-0.054904963821172714,0.3441103398799896,0.03466018661856651,-0.04688887670636177,0.017460018396377563,0.1580280214548111
34170_0016_A_123	-0.08120611310005188,0.021106787025928497,0.007690291851758957,0.049009449779987335,-0.006888553500175476,0.0324799008667469
34170_0016_A_124	0.0805743932723999,0.29067403078079224,0.3208182156085968,0.11248420178890228,-0.07559555768966675,0.17487800121307373
34170_0016_A_125	-0.02642899379134178,0.24952973425388336,-0.012341152876615524,0.0007765805348753929,0.036092422902584076,0.06432366371154785
34170_0016_A_126	-0.14117880165576935,0.048654258251190186,-0.08086687326431274,-0.017939556390047073,-0.04931752383708954,0.01611677184700966
34170_0016_A_127	-0.07485848665237427,0.0226588174700737,-0.05569406971335411,0.010596509091556072,0.02777089923620224,0.024695981293916702
34170_0016_A_128	-0.013317182660102844,0.2667349576950073,0.08384492993354797,-0.02710608020424843,-0.05154987424612045,0.044809818267822266
34170_0016_A_129	-0.013165425509214401,0.1926315575838089,0.09740881621837616,-0.15114732086658478,0.1172357052564621,0.3291671574115753
34170_0016_A_130	-0.028696957975625992,0.3054404854774475,-0.15274465084075928,0.14988186955451965,0.11701169610023499,0.03836285322904587
34170_0016_A_131	-0.10408633947372437,0.08313475549221039,0.04257159307599068,0.1404118537902832,0.05684446543455124,0.20748785138130188
34170_0016_A_132	0.016948070377111435,0.05228688567876816,0.09253507852554321,0.022753071039915085,0.23239342868328094,0.5103363990783691
34170_0016_A_133	-0.07937140762805939,0.08569591492414474,-0.15582801401615143,0.12318509072065353,0.31314507126808167,0.38172727823257446
34170_0016_A_134	0.03875020518898964,0.10745047777891159,-0.08707007765769958,0.16075251996517181,0.2315210998058319,0.3395920693874359
34170_0016_A_135	-0.12608227133750916,0.05492120981216431,-0.017889689654111862,-0.014787574298679829,0.06726861745119095,0.18320485949516296
34170_0016_A_136	-0.12414181232452393,1.2228059768676758,0.048767659813165665,0.03918555751442909,-0.23211854696273804,-0.03351442143321037
34170_0017_A_139	-0.0725085437297821,0.04899274557828903,-0.010332625359296799,0.019171547144651413,0.03314504772424698,0.05757737532258034
34170_0017_A_140	-0.13075073063373566,0.050700798630714417,-0.03800791874527931,0.07340170443058014,0.08097773790359497,0.03270602971315384
34170_0017_A_141	-0.2079145312309265,0.10133114457130432,0.09054093062877655,0.07068710774183273,-0.010349102318286896,0.4203527271747589
34170_0017_A_142	-0.13513338565826416,0.06904978305101395,0.012589860707521439,0.03033652901649475,0.025613106787204742,0.09271571785211563
34170_0017_A_143	-0.17468953132629395,0.0985793024301529,-0.01853933557868004,0.0444091260433197,0.047633834183216095,0.005002032034099102
34170_0017_A_144	-0.1604469120502472,0.09877513349056244,0.009822029620409012,0.10102345049381256,-0.08945892006158829,0.18263378739356995
34170_0017_A_145	-0.14235365390777588,0.06564375013113022,-0.012775059789419174,0.03619925305247307,0.022084228694438934,0.08936712145805359
34170_0017_A_146	-0.10119384527206421,0.0033079320564866066,-0.09349268674850464,0.017861444503068924,0.062292926013469696,0.06765956431627274
34170_0017_A_147	0.09569931030273438,0.10402557998895645,0.13108697533607483,-0.017470311373472214,0.1429249793291092,0.055066242814064026
34170_0017_A_148	-0.021949339658021927,-0.01031943317502737,0.013448063284158707,0.09117157012224197,0.07427404820919037,0.15858300030231476
34170_0017_A_149	-0.04672152176499367,0.04791130870580673,-0.04324859008193016,0.04664631560444832,-0.07266101241111755,0.040300484746694565
34170_0017_A_150	0.06416451930999756,-0.005533180199563503,-0.05403066799044609,0.032405342906713486,-0.06978816539049149,0.008877742104232311
34170_0017_A_151	-0.08165575563907623,0.10522530972957611,-0.009850841015577316,0.04625823721289635,0.11678250879049301,0.9162697196006775
34170_0017_A_152	0.35838449001312256,0.7777259945869446,0.1245015561580658,-0.05629471316933632,-0.01687387004494667,0.18236033618450165
34170_0017_A_153	-0.05469534918665886,0.08526580035686493,-0.058818425983190536,0.06162117049098015,-0.012067995965480804,0.04003547504544258
34170_0017_A_154	-0.0021420642733573914,0.07179886847734451,-0.08899924159049988,0.03637139871716499,0.010198377072811127,0.039406802505254745
34170_0017_A_155	-0.061620455235242844,0.14449331164360046,0.15391339361667633,0.09670168161392212,0.05881481617689133,0.012343327514827251
34170_0017_A_156	0.11531718075275421,0.4222182035446167,-0.014809291809797287,0.06846538931131363,0.06377628445625305,0.1239200010895729
34170_0017_A_157	0.1711125373840332,0.3080540597438812,0.010113734751939774,0.02939733862876892,-0.07359236478805542,0.11885470896959305
34170_0017_A_158	-0.07563188672065735,-0.03171583265066147,-0.03553226217627525,0.05665263906121254,0.021063998341560364,0.48350170254707336
34170_0017_A_159	-0.09740050137042999,0.0704890564084053,0.024645928293466568,-0.02294878289103508,-0.003935046494007111,-0.0017878999933600426
34170_0017_A_160	-0.1238488107919693,0.028595246374607086,-0.0024578757584095,0.011862213723361492,0.05258920043706894,0.03320532664656639
34170_0017_A_161	-0.09249404072761536,0.08744214475154877,0.028864417225122452,-0.006361355073750019,-0.016969703137874603,-0.011357343755662441
34170_0017_A_162	-0.012735236436128616,0.09598862379789352,-0.11766570806503296,0.009862068109214306,0.17979787290096283,0.01732923835515976
34170_0017_A_163	-0.06344406306743622,0.11341648548841476,0.29899346828460693,-0.04416654258966446,0.1467037796974182,0.005186180584132671
34170_0017_A_164	-0.17535246908664703,0.18764232099056244,0.014295581728219986,0.03798152133822441,0.05799908936023712,0.07936670631170273
34170_0017_A_165	-0.0824851244688034,0.062104322016239166,0.09213127195835114,0.13194581866264343,0.1179966926574707,0.18276441097259521
34170_0017_A_166	0.11840766668319702,0.2923857271671295,0.1964130848646164,0.1320737898349762,0.16762182116508484,0.2216799557209015
34170_0017_A_167	0.788804292678833,1.1186254024505615,0.04307395592331886,-0.1650087535381317,0.0326068252325058,0.29419761896133423
34170_0017_A_168	-0.07000823318958282,-0.04081939905881882,-0.028230708092451096,0.03245733305811882,0.1422325074672699,0.19850100576877594
34170_0017_A_169	-0.0931575745344162,-0.04579905420541763,0.040958527475595474,0.2237693965435028,0.11446323990821838,0.10214290767908096
34170_0017_A_173	0.07052117586135864,0.25456905364990234,0.1654871553182602,0.04606432095170021,0.0033144131302833557,0.12863291800022125
34170_0017_A_170	-0.07748864591121674,0.014817007817327976,-0.02614530548453331,0.041898250579833984,0.25497302412986755,0.4161470830440521
34170_0017_A_172	0.0009984560310840607,0.24751688539981842,0.15095731616020203,0.07405618578195572,0.04076797515153885,0.1413751095533371
34170_0017_A_175	-0.020825695246458054,0.11598774790763855,-0.04452229663729668,0.016905702650547028,0.040506817400455475,0.010480704717338085
34170_0017_A_176	-0.11741320788860321,0.11559244990348816,-0.03606497868895531,0.03596131131052971,-0.06358587741851807,0.004461473785340786
34170_0017_A_178	-0.07378889620304108,0.2603378891944885,-0.10587657988071442,-0.020951781421899796,0.010464966297149658,0.19040855765342712
34170_0017_A_179	-0.10816717147827148,0.33473894000053406,0.12031672894954681,-0.01152824703603983,0.11071381717920303,0.04841627553105354
34170_0017_A_181	0.00010014697909355164,0.3001294732093811,0.01894867792725563,0.014282244257628918,0.036559462547302246,0.12282101064920425
34170_0017_A_182	0.2342185527086258,0.38304418325424194,0.15123724937438965,0.12889565527439117,0.3090711534023285,0.0044431863352656364
34170_0017_A_184	-0.06728896498680115,0.24666349589824677,-0.007539715617895126,0.14125828444957733,0.03764443099498749,0.22826841473579407
34170_0017_A_185	0.0036326944828033447,0.08415808528661728,-0.04729403182864189,0.02674701064825058,0.07617446780204773,-0.0198952816426754
34170_0017_A_187	-0.009198959916830063,0.06667880713939667,-0.019915368407964706,0.06642074137926102,0.10479043424129486,0.017600949853658676
34170_0017_A_188	0.07591959834098816,0.08201863616704941,0.25794684886932373,0.20026786625385284,0.08338940888643265,-0.03666634485125542
34170_0017_A_189	0.023213032633066177,0.619016706943512,0.0657166838645935,0.06728382408618927,0.39871057868003845,0.03464706614613533
34170_0017_A_191	0.396562784910202,-0.01754503697156906,-0.016269054263830185,0.01888570934534073,0.12010710686445236,0.09888152778148651
34170_0017_A_192	0.11872446537017822,-0.010111606679856777,-0.036684367805719376,0.0828607976436615,-0.03695812076330185,0.1687939465045929
34170_0017_A_193	0.042792562395334244,0.3927540183067322,0.1296253651380539,-0.1677439957857132,0.19497865438461304,0.02913949266076088
34170_0017_A_194	-0.11253894865512848,0.07757335901260376,0.05190223827958107,0.15915276110172272,0.01236724853515625,0.3581729531288147
34170_0017_A_195	0.4375913739204407,0.35150545835494995,-0.05108706280589104,-0.0712934136390686,0.06319840997457504,0.1337556093931198
34170_0017_A_196	1.1393837928771973,0.30659037828445435,-0.08039310574531555,-0.10106503963470459,0.022636182606220245,0.16654765605926514
34170_0017_A_198	-0.14755859971046448,0.047958970069885254,-0.013645481318235397,0.04461799934506416,0.021265335381031036,0.053394053131341934
34170_0017_A_199	-0.07578395307064056,0.06855105608701706,-0.07069900631904602,0.0158243365585804,0.03128407150506973,0.04879836365580559
34170_0017_A_200	-0.10768142342567444,0.04848655313253403,0.005713317543268204,0.05102973431348801,0.10490185767412186,0.21979793906211853
34170_0019_A_207	-0.08084136247634888,-0.01673993468284607,0.0011132992804050446,0.032311178743839264,0.09792286902666092,-0.0008987979963421822
34170_0019_A_208	-0.09476722776889801,0.03644796460866928,-0.041236136108636856,0.11116023361682892,-0.010359808802604675,0.06989681720733643
34170_0019_A_209	-0.16149836778640747,0.25060799717903137,0.004703838378190994,0.07119598239660263,0.03755902498960495,-0.06444165110588074
34170_0019_A_210	-0.14721077680587769,0.022608064115047455,-0.012738969177007675,0.06160153076052666,-0.04872600734233856,0.07156860828399658
34170_0019_A_217	-0.03356515243649483,0.0018694782629609108,-0.02273392304778099,0.013882271014153957,0.10979454219341278,0.010254415683448315
34170_0019_A_219	-0.03237120434641838,0.5185400247573853,-0.04860710725188255,0.05004248768091202,-0.08907513320446014,0.03933458402752876
34170_0019_A_225	-0.052543219178915024,0.03323669731616974,-0.01796693727374077,0.03459404781460762,-0.0448966920375824,-0.09469236433506012
34170_0019_A_226	-0.029670923948287964,0.1399194598197937,-0.029876451939344406,-0.009765834547579288,0.014699973165988922,0.027706023305654526
34170_0019_A_231	-0.17854799330234528,-0.010272293351590633,0.013712961226701736,0.1989268809556961,0.04884428530931473,0.01814403384923935
34170_0020_A_238	-0.0939076840877533,0.20300127565860748,-0.08608804643154144,0.07824701815843582,-0.05045114457607269,0.00012671854346990585
34170_0020_A_239	-0.10803142189979553,0.27347496151924133,-0.060888197273015976,0.08961261808872223,0.017609678208827972,-0.008226071484386921
34170_0020_A_240	-0.059990134090185165,0.11464099586009979,0.025770653039216995,0.08419261127710342,0.0426386222243309,-0.012513034977018833
34170_0020_A_241	-0.14093586802482605,0.18534158170223236,-0.009400080889463425,0.11364993453025818,0.02036634087562561,0.19505515694618225
34170_0020_A_242	-0.07039563357830048,-0.0036035319790244102,0.18565301597118378,0.004985838197171688,0.2137400060892105,0.08876178413629532
34170_0020_A_243	-0.15008237957954407,0.0849824994802475,-0.061165835708379745,0.954563319683075,0.11528313905000687,0.19529002904891968
34170_0020_A_246	0.12099440395832062,0.060635462403297424,-0.007635723799467087,0.07484094053506851,-0.010690458118915558,0.006066205911338329
34170_0020_A_247	0.27568763494491577,0.4950137734413147,-0.022574733942747116,-0.11645688116550446,0.07468238472938538,0.03301290050148964
34170_0020_A_251	-0.11056903004646301,-0.01601644605398178,-0.01980135217308998,0.055202193558216095,0.05616118013858795,-0.08881902694702148
34170_0020_A_252	-0.11888644099235535,0.04863046109676361,-0.007257726043462753,0.11218631267547607,0.05231337994337082,-0.09310242533683777
34170_0021_A_255	-0.0734645277261734,0.09370660781860352,0.0903683602809906,-0.004417893476784229,0.5935930013656616,0.20366425812244415
34170_0021_A_257	-0.09205266833305359,0.0730680450797081,0.00214332714676857,0.07799388468265533,0.028006814420223236,-0.004550089128315449
34170_0021_A_259	-0.023799970746040344,0.06607358902692795,0.1439112275838852,0.04780854657292366,0.037299975752830505,0.017365828156471252
34170_0021_A_261	0.512736439704895,0.5629580616950989,-0.012971531599760056,0.2443598061800003,-0.11390677094459534,-0.039637308567762375
34170_0021_A_262	-0.14665798842906952,0.05686473846435547,0.060389596968889236,0.03328019753098488,-0.037653349339962006,0.15969350934028625
34170_0022_A_265	-0.10650622844696045,0.07853623479604721,-0.00818752869963646,0.04520978033542633,-0.011497341096401215,0.053843941539525986
34170_0022_A_266	-0.07695241272449493,0.0006278464570641518,0.01171175017952919,-0.008978313766419888,0.19375142455101013,0.07107925415039062
34170_0022_A_267	-0.010092314332723618,0.031665511429309845,0.03201182559132576,0.012024692259728909,0.1922900378704071,0.037314582616090775
34170_0022_A_268	-0.0916377454996109,-0.04010084271430969,-0.025240492075681686,0.09900624305009842,0.017677292227745056,-0.010846973396837711
34170_0022_A_269	-0.07711686193943024,0.05159247666597366,-0.039919350296258926,0.008527002297341824,-0.014026060700416565,0.027299925684928894
34170_0022_A_270	0.00917809084057808,0.032622329890728,-0.019108768552541733,0.02932705357670784,0.010584317147731781,0.08902568370103836
34170_0022_A_271	0.11705498397350311,0.30670762062072754,0.005261693149805069,0.014397370629012585,0.07490230351686478,0.08635880053043365
34170_0022_A_272	-0.28675198554992676,0.9106479287147522,0.04613635316491127,-0.0775236040353775,-0.033695898950099945,-0.0677892416715622
34170_0022_A_273	-0.09286092221736908,0.015435674227774143,0.04344163462519646,0.028237827122211456,-0.02168426662683487,0.08353038132190704
34170_0022_A_276	-0.12705500423908234,0.00029815081506967545,0.06017712131142616,0.06482712924480438,-0.027099505066871643,0.13087345659732819
34170_0022_A_279	-0.1282513588666916,0.04848753660917282,0.016148831695318222,0.03579721227288246,0.2462500035762787,0.06283428519964218
34170_0022_A_280	-0.1624835580587387,0.044432736933231354,0.023612771183252335,0.061501506716012955,0.12219661474227905,-0.11928707361221313
34170_0022_A_281	-0.12491199374198914,-0.02139628678560257,0.022744040936231613,0.09507917612791061,0.19113479554653168,-0.06799432635307312
34170_0022_A_282	-0.1153048574924469,0.010828808881342411,-0.06078508868813515,0.04033432528376579,0.1856045126914978,-0.02685803920030594
34170_0022_A_283	0.007760409265756607,0.03404923528432846,-0.02421199157834053,0.07343293726444244,0.14742359519004822,-0.0032627256587147713
34170_0022_A_284	-0.08604362607002258,0.3223881423473358,-0.10359090566635132,-0.0005524428561329842,0.10732065141201019,0.12789663672447205
34170_0022_A_285	-0.18676264584064484,0.08800917863845825,-0.030620019882917404,0.009277391247451305,0.15688712894916534,0.025687389075756073
34170_0022_A_286	-0.08590389788150787,0.31971022486686707,-0.10013346374034882,-0.0029056547209620476,0.10802605003118515,0.1274249106645584
34170_0022_A_287	-0.11406412720680237,0.041379861533641815,-0.05332880839705467,0.08381108939647675,0.22387349605560303,0.04035886749625206
34170_0022_A_288	0.12347093224525452,0.4633846879005432,0.08213081955909729,-0.08853840082883835,-0.057575106620788574,-0.005497892387211323
34170_0022_A_291	-0.1401713490486145,-0.038457490503787994,-0.01783553883433342,-0.03200853243470192,-0.01569291204214096,0.09131966531276703
34170_0022_A_292	0.007442254573106766,-0.05690539628267288,-0.08085280656814575,0.01506486814469099,-0.00976496934890747,0.04445933178067207
34170_0022_A_293	-0.09076207876205444,0.0038656527176499367,-0.044485222548246384,0.012031464837491512,-0.030221477150917053,0.03468746319413185
34170_0022_A_302	-0.12119266390800476,0.0554344579577446,0.0038176141679286957,0.01935361698269844,0.435775488615036,0.01615605130791664
34170_0022_A_295	-0.13091549277305603,0.041340574622154236,-0.010759081691503525,0.11826904118061066,-0.02256583422422409,0.07647968828678131
34170_0022_A_298	-0.16688379645347595,0.07554946839809418,0.061082933098077774,0.046391624957323074,0.29535922408103943,0.031087283045053482
34170_0022_A_299	-0.18557751178741455,0.12607760727405548,0.0054113976657390594,0.0010422123596072197,0.21428710222244263,-0.19456571340560913
34170_0022_A_300	-0.21197828650474548,0.11263109743595123,0.005090255290269852,-0.09130413085222244,0.2526199519634247,0.0019364720210433006
34170_0022_A_301	-0.15676701068878174,0.34649544954299927,0.008630547672510147,0.03719919174909592,0.08698687702417374,0.057459622621536255
34170_0022_A_303	0.11261488497257233,0.4731828570365906,0.03927722945809364,-0.07232802361249924,-0.04541667550802231,-0.01724216341972351
34170_0022_A_304	-0.11845134198665619,0.05116195231676102,-0.0073944441974163055,-0.03298700973391533,0.03409796953201294,0.027588065713644028
34170_0022_A_305	-0.18629270792007446,0.04465031623840332,-0.03654792532324791,-0.01920093223452568,0.03212931007146835,0.010816299356520176
34170_0022_A_308	-0.1014244556427002,0.03240802884101868,-0.013183455914258957,-0.016836214810609818,0.0006928741931915283,-0.058105845004320145
34170_0022_A_309	-0.06567725539207458,-0.00966841634362936,0.1071307510137558,0.07953697443008423,0.056269921362400055,0.16448915004730225
34170_0022_A_310	-0.15034300088882446,0.13590379059314728,-0.05076300725340843,0.07905568182468414,-0.021434076130390167,-2.99038365483284e-05
34170_0022_A_311	-0.04141474887728691,0.2019534707069397,0.0193406380712986,0.054264266043901443,0.052535876631736755,0.1339901238679886
34170_0022_A_312	-0.18846692144870758,0.1486440747976303,-0.05997287854552269,0.018162686377763748,-0.0852745920419693,-0.033172544091939926
34170_0022_A_315	-0.06585074961185455,0.011191890574991703,-0.006908375769853592,0.020770840346813202,0.06537720561027527,0.01983446441590786
34170_0022_A_316	-0.04491729661822319,0.0919538289308548,0.04373883083462715,0.07513180375099182,-0.014092400670051575,-0.019729528576135635
34170_0022_A_319	0.12353569269180298,0.4637211859226227,0.08180628716945648,-0.088643878698349,-0.05806715786457062,-0.005400338210165501
34170_0022_A_322	-0.14112696051597595,0.02031780034303665,-0.011845748871564865,0.1172216534614563,-0.032905213534832,-0.03466911241412163
